DEPOT,CODE,TYPE,GROUP,TEU,STATUS,FOODGRADE,IDLEDAYS,LEASECONTRACT,OWNERSHIP,SOC,BUILDDATE
DEHAM001,MSWU4710370,20GP,STANDARD,1,Not Blocked,yes,100,C50898149,Leased,no,27/12/2003
DEHAM001,HLXU7197480,20GP,STANDARD,1,Not Blocked,no,4,C37294771,Leased,no,12/08/1996
DEHAM001,COZU6611228,20GP,STANDARD,1,Not Blocked,no,44,C75736075,Leased,no,19/08/2017
DEHAM001,CJYU4949161,20GP,STANDARD,1,Not Blocked,yes,97,C18890827,Leased,no,01/01/1982
DEHAM001,HLBU6314713,20GP,STANDARD,1,Not Blocked,yes,97,C48752225,Leased,no,31/07/2015
DEHAM001,CSQU4111256,20GP,STANDARD,1,Not Blocked,no,5,C36704394,Leased,no,10/06/2013
DEHAM001,HLXU8496075,20GP,STANDARD,1,Not Blocked,yes,92,C49549879,Leased,no,21/07/2005
DEHAM001,ITAU6017571,20GP,STANDARD,1,Not Blocked,no,84,C27710360,Leased,no,30/01/1997
DEHAM001,HPJU4986011,20GP,STANDARD,1,Not Blocked,no,4,C55698002,Leased,no,23/09/1990
DEHAM001,CSNU6249467,20GP,STANDARD,1,Out of Fleet,yes,62,C55106964,Leased,no,14/07/2005
DEHAM001,MSFU8249685,20GP,STANDARD,1,Out of Fleet,no,50,C55234405,Leased,no,16/12/2011
DEHAM001,HLBU5971036,20GP,STANDARD,1,Not Blocked,yes,73,C47621510,Leased,no,05/11/2008
DEHAM001,MSAU7607771,20GP,STANDARD,1,Not Blocked,yes,56,C55569299,Leased,no,03/09/1983
DEHAM001,TLEU9896949,20GP,STANDARD,1,Not Blocked,yes,23,C84770009,Leased,no,29/06/2006
DEHAM001,TLEU4749418,20GP,STANDARD,1,Not Blocked,yes,68,C66827291,Leased,no,18/03/2007
DEHAM001,CSNU3899071,20GP,STANDARD,1,Not Blocked,no,3,C29265657,Leased,no,20/12/2006
DEHAM001,MRKU1218185,20GP,STANDARD,1,Damaged,yes,99,C32522231,Leased,no,10/12/2014
DEHAM001,COZU8671824,20GP,STANDARD,1,Out of Fleet,no,2,C95932006,Leased,no,12/11/2016
DEHAM001,MSFU5747172,20GP,STANDARD,1,Not Blocked,no,12,C83170370,Leased,no,29/07/1989
DEHAM001,MSAU3671999,20GP,STANDARD,1,Not Blocked,no,11,C57781092,Leased,no,21/07/1989
DEHAM001,MSAU1317192,20GP,STANDARD,1,Not Blocked,yes,42,C43547261,Leased,no,23/04/2013
DEHAM001,HLBU4964958,20GP,STANDARD,1,Not Blocked,no,61,C58099777,Leased,no,13/03/2006
DEHAM001,MRKU4071916,40GP,STANDARD,2,Not Blocked,yes,92,C59467644,Leased,no,29/05/1981
DEHAM001,MSAU1277867,40GP,STANDARD,2,Not Blocked,yes,71,C32178936,Leased,no,17/08/1980
DEHAM001,HLBU1273624,40GP,STANDARD,2,Out of Fleet,yes,74,C83871629,Leased,no,24/04/1984
DEHAM001,CJYU6949978,40GP,STANDARD,2,Not Blocked,no,19,C26582001,Leased,no,08/06/1993
DEHAM001,MSFU1198112,40GP,STANDARD,2,Damaged,yes,92,C57717505,Leased,no,04/09/1987
DEHAM001,ITAU1571154,40GP,STANDARD,2,Not Blocked,yes,13,C88072853,Leased,no,19/05/2002
DEHAM001,CSQU1949754,40GP,STANDARD,2,Not Blocked,yes,96,C72163678,Leased,no,03/12/1981
DEHAM001,MSFU5378497,40GP,STANDARD,2,Not Blocked,no,84,C59161352,Leased,no,05/02/2015
DEHAM001,MSFU6871172,40GP,STANDARD,2,Not Blocked,no,3,C14399712,Leased,no,10/03/2010
DEHAM001,CSQU4499293,40GP,STANDARD,2,Not Blocked,yes,55,C94024995,Leased,no,25/02/1989
DEHAM001,MSFU4071897,40GP,STANDARD,2,Not Blocked,yes,21,C53802113,Leased,no,28/06/1989
DEHAM001,MSAU6725492,40GP,STANDARD,2,Not Blocked,no,74,C87149849,Leased,no,08/12/1995
DEHAM001,MSFU4962417,40GP,STANDARD,2,Out of Fleet,yes,44,C45890709,Leased,no,21/10/2014
DEHAM001,MSAU3318712,40GP,STANDARD,2,Not Blocked,yes,7,C53113320,Leased,no,05/07/1982
DEHAM001,HLXU3499035,40HC,STANDARD,2,Not Blocked,yes,39,C53362650,Leased,no,09/11/2019
DEHAM001,HLXU2167717,40HC,STANDARD,2,Not Blocked,yes,45,C95606258,Leased,no,31/03/1990
DEHAM001,HLXU4171878,40HC,STANDARD,2,Not Blocked,no,28,C90425296,Leased,no,03/05/1989
DEHAM001,COZU9451213,40HC,STANDARD,2,Not Blocked,yes,49,C97180290,Leased,no,29/05/1979
DEHAM001,MSAU1034493,40HC,STANDARD,2,Not Blocked,yes,74,C44583107,Leased,no,22/01/1987
DEHAM001,MSAU8699713,40HC,STANDARD,2,Not Blocked,no,4,C10572604,Leased,no,04/02/2014
DEHAM001,MSWU5975716,40HC,STANDARD,2,Not Blocked,yes,28,C90514232,Leased,no,31/03/1982
DEHAM001,MSFU7036571,40HC,STANDARD,2,Not Blocked,no,12,C63882693,Leased,no,22/12/1993
DEHAM001,MSAU7828971,40HC,STANDARD,2,Not Blocked,no,78,C73623429,Leased,no,14/01/2000
DEHAM001,MSAU7649783,40HC,STANDARD,2,Not Blocked,no,70,C17518498,Leased,no,08/07/1980
DEHAM001,CSNU9301200,45HC,STANDARD,2,Not Blocked,yes,18,C51004604,Leased,no,13/03/2001
DEHAM001,CSQU4756710,45HC,STANDARD,2,Not Blocked,yes,48,C25033266,Leased,no,08/08/2001
DEHAM001,CSQU6128934,45HC,STANDARD,2,Not Blocked,no,67,C89169052,Leased,no,23/10/1991
DEHAM001,COZU4471181,45HC,STANDARD,2,Damaged,no,51,C63738270,Leased,no,09/02/1980
DEHAM001,CJYU5332312,45HC,STANDARD,2,Not Blocked,no,2,C96982368,Leased,no,22/08/2016
DEHAM001,MSFU7860126,45HC,STANDARD,2,Not Blocked,no,28,C40641679,Leased,no,25/01/1995
DEHAM001,CJYU1243580,45HC,STANDARD,2,Out of Fleet,yes,63,C46964387,Leased,no,15/10/2015
DEHAM001,HLXU4553491,45HC,STANDARD,2,Not Blocked,no,61,C74749000,Leased,no,22/03/1997
DEHAM001,MSAU8049009,45HC,STANDARD,2,Not Blocked,no,56,C42439862,Leased,no,03/01/2004
DEHAM001,MSAU4982904,45HC,STANDARD,2,Not Blocked,no,11,C41751673,Leased,no,05/05/2007
DEHAM001,MSAU8021279,45HC,STANDARD,2,Not Blocked,no,46,C13691967,Leased,no,21/07/1979
DEHAM001,HLBU1224652,45HC,STANDARD,2,Out of Fleet,no,41,C54306659,Leased,no,22/06/1980
DEHAM001,HAMU1289638,45HC,STANDARD,2,Not Blocked,no,67,C17821120,Leased,no,07/04/1998
DEHAM001,HLXU4512781,45HC,STANDARD,2,Damaged,no,90,C47625355,Leased,no,03/09/1994
DEHAM001,MSAU7123529,45HC,STANDARD,2,Not Blocked,no,42,C27335356,Leased,no,12/06/1993
DEHAM001,MSFU5571619,45HC,STANDARD,2,Not Blocked,yes,78,C78996360,Leased,no,07/06/2013
DEHAM001,HAMU7122050,20RE,REEFER,1,Not Blocked,yes,100,C70278380,Leased,no,27/12/1989
DEHAM001,HLBU5490008,20RE,REEFER,1,Not Blocked,no,25,C97159278,Leased,no,09/10/1989
DEHAM001,HLXU1874922,20RE,REEFER,1,Not Blocked,yes,33,C19480826,Leased,no,17/01/1990
DEHAM001,CSNU2220128,20RE,REEFER,1,Not Blocked,yes,88,C60035310,Leased,no,29/08/1979
DEHAM001,HLBU9212586,20RE,REEFER,1,Not Blocked,no,39,C86615120,Leased,no,11/09/1987
DEHAM001,TLEU5437180,20RE,REEFER,1,Not Blocked,yes,55,C16037467,Leased,no,30/07/2012
DEHAM001,MSAU3715084,20RE,REEFER,1,Not Blocked,no,4,C87803428,Leased,no,18/10/1987
DEHAM001,HPJU9880711,20RE,REEFER,1,Not Blocked,no,18,C43064959,Leased,no,26/02/2009
DEHAM001,CSNU4445128,20RE,REEFER,1,Not Blocked,no,66,C30530777,Leased,no,23/01/1980
DEHAM001,HPJU5584918,20RE,REEFER,1,Not Blocked,no,85,C84076769,Leased,no,31/08/1995
DEHAM001,HLXU7714892,20RE,REEFER,1,Not Blocked,yes,12,C57813998,Leased,no,12/06/2005
DEHAM001,MSFU2812936,20RE,REEFER,1,Damaged,yes,63,C45159245,Leased,no,04/07/2017
DEHAM001,CJYU8471284,20RE,REEFER,1,Not Blocked,yes,68,C45018118,Leased,no,29/12/1991
DEHAM001,MSAU6121013,20RE,REEFER,1,Not Blocked,yes,6,C77916542,Leased,no,08/08/1980
DEHAM001,MSFU7649703,20RE,REEFER,1,Not Blocked,yes,75,C73661173,Leased,no,29/12/1986
DEHAM001,MRKU5256012,20RE,REEFER,1,Not Blocked,no,91,C10898251,Leased,no,07/05/2019
DEHAM001,MSFU2144712,40RH,REEFER,2,Not Blocked,yes,93,C91561719,Leased,no,20/12/2009
DEHAM001,HPJU7031231,40RH,REEFER,2,Not Blocked,yes,25,C74457025,Leased,no,09/10/2012
DEHAM001,CSQU5812165,40RH,REEFER,2,Damaged,no,45,C26185075,Leased,no,29/12/1994
DEHAM001,MSWU1849629,40RH,REEFER,2,Not Blocked,yes,28,C41895600,Leased,no,18/08/1990
DEHAM001,MRKU4714767,40RH,REEFER,2,Not Blocked,no,84,C43202889,Leased,no,07/07/2016
DEHAM001,SCMU4209121,40RH,REEFER,2,Not Blocked,no,16,C18690398,Leased,no,12/10/2007
DEHAM001,MSAU6714442,40RH,REEFER,2,Not Blocked,no,35,C51221747,Leased,no,03/06/1984
DEHAM001,CJYU1233155,40RH,REEFER,2,Not Blocked,yes,94,C25088839,Leased,no,12/01/1994
DEHAM001,MRKU8512466,40RH,REEFER,2,Out of Fleet,no,37,C96667161,Leased,no,08/09/1990
DEHAM001,CSNU1251559,40RH,REEFER,2,Not Blocked,no,2,C96484708,Leased,no,30/10/2015
DEHAM001,HAMU1467471,40RH,REEFER,2,Not Blocked,yes,90,C12817183,Leased,no,28/12/1983
DEHAM001,CJYU7121835,40RH,REEFER,2,Not Blocked,yes,100,C87293316,Leased,no,15/09/1993
DEHAM001,MSFU8796112,40RH,REEFER,2,Not Blocked,no,4,C41815992,Leased,no,08/07/2000
DEHAM001,HPJU9871045,40RH,REEFER,2,Not Blocked,yes,30,C32134559,Leased,no,17/09/2011
DEHAM001,CJYU4327102,45RH,REEFER,2,Not Blocked,yes,51,C35672883,Leased,no,24/09/2006
DEHAM001,HPJU1712167,45RH,REEFER,2,Not Blocked,yes,14,C12450859,Leased,no,08/05/2008
DEHAM001,SCMU5847212,45RH,REEFER,2,Not Blocked,no,27,C30819984,Leased,no,08/10/2018
DEHAM001,CJYU3124232,45RH,REEFER,2,Out of Fleet,no,3,C79243853,Leased,no,07/06/2004
DEHAM001,MSFU1271582,45RH,REEFER,2,Not Blocked,no,98,C58864422,Leased,no,25/03/2007
DEHAM001,CSNU1401123,45RH,REEFER,2,Not Blocked,no,15,C14409269,Leased,no,16/09/2010
DEHAM001,SCMU1251654,45RH,REEFER,2,Not Blocked,yes,95,C50286811,Leased,no,28/09/1993
DEHAM001,CSNU7540122,45RH,REEFER,2,Not Blocked,yes,99,C41574214,Leased,no,20/01/1995
DEHAM001,CJYU4969652,45RH,REEFER,2,Not Blocked,yes,99,C38512941,Leased,no,18/01/1988
DEHAM001,HPJU4966810,45RH,REEFER,2,Damaged,no,35,C15494239,Leased,no,30/01/1984
DEHAM001,MSWU5075371,45RH,REEFER,2,Not Blocked,no,91,C83133184,Leased,no,31/08/1998
DEHAM001,TLEU4007123,45RH,REEFER,2,Not Blocked,no,97,C84767566,Leased,no,22/03/1990
DEHAM001,MSAU1273149,45RH,REEFER,2,Not Blocked,yes,57,C95100294,Leased,no,18/10/1982
DEHAM001,HPJU8378412,45RH,REEFER,2,Not Blocked,no,22,C69945505,Leased,no,08/10/2001
DEHAM001,CSQU7472491,45RH,REEFER,2,Out of Fleet,yes,8,C33502559,Leased,no,25/09/1987
DEHAM001,ITAU5151312,45RH,REEFER,2,Not Blocked,yes,64,C36541792,Leased,no,11/06/2004
DEHAM001,SCMU2986127,45RH,REEFER,2,Not Blocked,no,13,C17795266,Leased,no,01/04/1999
DEHAM001,ITAU7361259,45RH,REEFER,2,Not Blocked,no,40,C51877303,Leased,no,13/09/1990
